Date;Europe Brent Spot Price FOB (Dollars per Barrel)
Oct 06, 2014;90,65
Oct 07, 2014;90,9
Oct 08, 2014;90,25
Oct 09, 2014;90,47
Oct 10, 2014;88,66
Oct 13, 2014;87,82
Oct 14, 2014;86,36
Oct 15, 2014;84,02
Oct 16, 2014;84,02
Oct 17, 2014;85,27
Oct 20, 2014;84,42
Oct 21, 2014;85,17
Oct 22, 2014;86,38
Oct 23, 2014;85,94
Oct 24, 2014;86
Oct 27, 2014;85,64
Oct 28, 2014;85,57
Oct 29, 2014;86,91
Oct 30, 2014;85,5
Oct 31, 2014;84,17
Nov 03, 2014;84,9
Nov 04, 2014;82,12
Nov 05, 2014;82,88
Nov 06, 2014;82,08
Nov 07, 2014;83,2
Nov 10, 2014;82,9
Nov 11, 2014;80,94
Nov 12, 2014;80,42
Nov 13, 2014;77,74
Nov 14, 2014;77,51
Nov 17, 2014;76,86
Nov 18, 2014;77,23
Nov 19, 2014;77,21
Nov 20, 2014;77,61
Nov 21, 2014;79,2
Nov 24, 2014;79,62
Nov 25, 2014;77,62
Nov 26, 2014;77,39
Nov 28, 2014;71,89
Dec 01, 2014;70,87
Dec 02, 2014;71,13
Dec 03, 2014;70,13
Dec 04, 2014;68,48
Dec 05, 2014;68
Dec 08, 2014;65,64
Dec 09, 2014;66,11
Dec 10, 2014;63,32
Dec 11, 2014;63,65
Dec 12, 2014;61,67
Dec 15, 2014;61,09
Dec 16, 2014;60,26
Dec 17, 2014;59,84
Dec 18, 2014;58,81
Dec 19, 2014;58,87
Dec 22, 2014;58,31
Dec 23, 2014;59,07
Dec 24, 2014;58,67
Dec 26, 2014;58,72
Dec 29, 2014;57,86
Dec 30, 2014;55,6
Dec 31, 2014;55,27
Jan 02, 2015;55,38
Jan 05, 2015;51,08
Jan 06, 2015;50,12
Jan 07, 2015;49,06
Jan 08, 2015;49,43
Jan 09, 2015;47,64
Jan 12, 2015;46,9
Jan 13, 2015;45,13
Jan 14, 2015;45,82
Jan 15, 2015;47,66
Jan 16, 2015;47,38
Jan 20, 2015;46,49
Jan 21, 2015;46,5
Jan 22, 2015;46,09
Jan 23, 2015;46,69
Jan 26, 2015;46,07
Jan 27, 2015;46,55
Jan 28, 2015;47,07
Jan 29, 2015;46,61
Jan 30, 2015;47,52
Feb 02, 2015;51,74
Feb 03, 2015;54,41
Feb 04, 2015;55,07
Feb 05, 2015;55,98
Feb 06, 2015;55,88
Feb 09, 2015;57
Feb 10, 2015;55,79
Feb 11, 2015;53,48
Feb 12, 2015;56,23
Feb 13, 2015;60,33
Feb 16, 2015;61,57
Feb 17, 2015;60,78
Feb 18, 2015;60,72
Feb 19, 2015;58,78
Feb 20, 2015;60,99
Feb 23, 2015;59,78
Feb 24, 2015;60,33
Feb 25, 2015;59,77
Feb 26, 2015;61,39
Feb 27, 2015;61,89
Mar 02, 2015;60,75
Mar 03, 2015;61,18
Mar 04, 2015;59,18
Mar 05, 2015;60,33
Mar 06, 2015;59,15
Mar 09, 2015;58,67
Mar 10, 2015;55,95
Mar 11, 2015;56,46
Mar 12, 2015;56,66
Mar 13, 2015;54,8
Mar 16, 2015;52
Mar 17, 2015;52,17
Mar 18, 2015;52,59
Mar 19, 2015;52,96
Mar 20, 2015;53,88
Mar 23, 2015;53,82
Mar 24, 2015;53,61
Mar 25, 2015;54,18
Mar 26, 2015;57,02
Mar 27, 2015;56,44
Mar 30, 2015;53,99
Mar 31, 2015;53,69
Apr 01, 2015;55,73
Apr 02, 2015;55,73
Apr 06, 2015;55,73
Apr 07, 2015;57,55
Apr 08, 2015;56,42
Apr 09, 2015;56,04
Apr 10, 2015;56,82
Apr 13, 2015;57,14
Apr 14, 2015;57,69
Apr 15, 2015;59,32
Apr 16, 2015;60,13
Apr 17, 2015;61,31
Apr 20, 2015;61,2
Apr 21, 2015;60,12
Apr 22, 2015;60,12
Apr 23, 2015;62,66
Apr 24, 2015;62,96
Apr 27, 2015;62,86
Apr 28, 2015;62,61
Apr 29, 2015;63,97
Apr 30, 2015;63,9
May 01, 2015;64,13
May 04, 2015;64,62
May 05, 2015;65,44
May 06, 2015;66,22
May 07, 2015;64,93
May 08, 2015;63,82
May 11, 2015;62,82
May 12, 2015;65,09
May 13, 2015;66,33
May 14, 2015;65,58
May 15, 2015;64,69
May 18, 2015;65,15
May 19, 2015;63,48
May 20, 2015;63,52
May 21, 2015;64,7
May 22, 2015;64,7
May 26, 2015;61,65
May 27, 2015;61,35
May 28, 2015;60,12
May 29, 2015;63,16
Jun 01, 2015;62,87
Jun 02, 2015;63,14
Jun 03, 2015;62,78
Jun 04, 2015;60,34
Jun 05, 2015;60,36
Jun 08, 2015;61,33
Jun 09, 2015;63,23
Jun 10, 2015;64,68
Jun 11, 2015;63,76
Jun 12, 2015;63,19
Jun 15, 2015;60,99
Jun 16, 2015;60,75
Jun 17, 2015;60,75
Jun 18, 2015;61,37
Jun 19, 2015;59,41
Jun 22, 2015;60,54
Jun 23, 2015;61,67
Jun 24, 2015;61,63
Jun 25, 2015;60,24
Jun 26, 2015;60,14
Jun 29, 2015;59,03
Jun 30, 2015;60,31
Jul 01, 2015;61,65
Jul 02, 2015;61,73
Jul 03, 2015;59,06
Jul 06, 2015;57,19
Jul 07, 2015;54,72
Jul 08, 2015;55,7
Jul 09, 2015;57,83
Jul 10, 2015;57,72
Jul 13, 2015;57,63
Jul 14, 2015;57,2
Jul 15, 2015;57,34
Jul 16, 2015;57,31
Jul 17, 2015;56,38
Jul 20, 2015;56,42
Jul 21, 2015;55,94
Jul 22, 2015;56,36
Jul 23, 2015;55,76
Jul 24, 2015;54,29
Jul 27, 2015;54,07
Jul 28, 2015;54,3
Jul 29, 2015;54,73
Jul 30, 2015;54,29
Jul 31, 2015;53,29
Aug 03, 2015;49,49
Aug 04, 2015;49,08
Aug 05, 2015;49,04
Aug 06, 2015;47,8
Aug 07, 2015;47,54
Aug 10, 2015;48,3
Aug 11, 2015;47,33
Aug 12, 2015;48,29
Aug 13, 2015;48,01
Aug 14, 2015;47,79
Aug 17, 2015;47,77
Aug 18, 2015;47
Aug 19, 2015;45,75
Aug 20, 2015;45,63
Aug 21, 2015;43,84
Aug 24, 2015;41,59
Aug 25, 2015;41,86
Aug 26, 2015;41,76
Aug 27, 2015;44,46
Aug 28, 2015;47,97
Sep 01, 2015;48,8
Sep 02, 2015;47,67
Sep 03, 2015;50,41
Sep 04, 2015;48,59
Sep 07, 2015;46,42
Sep 08, 2015;48,88
Sep 09, 2015;48,04
Sep 10, 2015;47,77
Sep 11, 2015;46,87
Sep 14, 2015;45,87
Sep 15, 2015;45,91
Sep 16, 2015;49,35
Sep 17, 2015;48,27
Sep 18, 2015;47,28
Sep 21, 2015;47,64
Sep 22, 2015;46,69
Sep 23, 2015;48
Sep 24, 2015;47,06
Sep 25, 2015;47,28
Sep 28, 2015;46,04
Sep 29, 2015;47,58
Sep 30, 2015;47,29
Oct 01, 2015;47,48
Oct 02, 2015;46,55
Oct 05, 2015;49,45
Oct 06, 2015;51,34
Oct 07, 2015;51,66
Oct 08, 2015;52,13
Oct 09, 2015;52,08
Oct 12, 2015;50,95
Oct 13, 2015;48,94
Oct 14, 2015;48,25
Oct 15, 2015;47,87
Oct 16, 2015;48,96
Oct 19, 2015;47,51
Oct 20, 2015;46,93
Oct 21, 2015;46,72
Oct 22, 2015;46,59
Oct 23, 2015;46,3
Oct 26, 2015;46,57
Oct 27, 2015;45,54
Oct 28, 2015;47,6
Oct 29, 2015;48,04
Oct 30, 2015;48
Nov 02, 2015;47,91
Nov 03, 2015;48
Nov 04, 2015;46,96
Nov 05, 2015;47,19
Nov 06, 2015;46,09
Nov 09, 2015;45,38
Nov 10, 2015;46,44
Nov 11, 2015;44,98
Nov 12, 2015;44,98
Nov 13, 2015;41,98
Nov 16, 2015;40,28
Nov 17, 2015;41,28
Nov 18, 2015;41,45
Nov 19, 2015;42,22
Nov 20, 2015;42,49
Nov 23, 2015;43,7
Nov 24, 2015;44,38
Nov 25, 2015;43,56
Nov 26, 2015;43,55
Nov 27, 2015;43,07
Nov 30, 2015;43,73
Dec 01, 2015;42,97
Dec 02, 2015;41,92
Dec 03, 2015;42
Dec 04, 2015;41,44
Dec 07, 2015;39,69
Dec 08, 2015;39,44
Dec 09, 2015;39,04
Dec 10, 2015;38,65
Dec 11, 2015;36,99
Dec 14, 2015;36,51
Dec 15, 2015;37,66
Dec 16, 2015;36,96
Dec 17, 2015;36,29
Dec 18, 2015;36,76
Dec 21, 2015;35,34
Dec 22, 2015;35,26
Dec 23, 2015;35,79
Dec 24, 2015;37,22
Dec 28, 2015;37,08
Dec 29, 2015;36,85
Dec 30, 2015;35,65
Dec 31, 2015;36,61
Jan 04, 2016;36,28
Jan 05, 2016;35,56
Jan 06, 2016;33,89
Jan 07, 2016;33,57
Jan 08, 2016;31,67
Jan 11, 2016;30,14
Jan 12, 2016;29,14
Jan 13, 2016;28,58
Jan 14, 2016;28,84
Jan 15, 2016;28,8
Jan 18, 2016;27,36
Jan 19, 2016;27,36
Jan 20, 2016;26,01
Jan 21, 2016;27,59
Jan 22, 2016;30,46
Jan 25, 2016;29,82
Jan 26, 2016;30,94
Jan 27, 2016;31,83
Jan 28, 2016;33,01
Jan 29, 2016;33,14
Feb 01, 2016;32,45
Feb 02, 2016;30,98
Feb 03, 2016;32,38
Feb 04, 2016;32,76
Feb 05, 2016;32,35
Feb 08, 2016;31,64
Feb 09, 2016;30,15
Feb 10, 2016;29,64
Feb 11, 2016;28,82
Feb 12, 2016;31,8
Feb 16, 2016;31,09
Feb 17, 2016;33,21
Feb 18, 2016;33,2
Feb 19, 2016;31,66
Feb 22, 2016;33,59
Feb 23, 2016;31,9
Feb 24, 2016;31,5
Feb 25, 2016;32,83
Feb 26, 2016;35,76
Feb 29, 2016;35,92
Mar 01, 2016;35,73
Mar 02, 2016;36,38
Mar 03, 2016;35,75
Mar 04, 2016;37,61
Mar 07, 2016;39,02
Mar 08, 2016;39,16
Mar 09, 2016;40,26
Mar 10, 2016;38,63
Mar 11, 2016;39,41
Mar 14, 2016;38,06
Mar 15, 2016;37,49
Mar 16, 2016;38,38
Mar 17, 2016;39,29
Mar 18, 2016;39,26
Mar 21, 2016;39,91
Mar 22, 2016;40,54
Mar 23, 2016;38,84
Mar 24, 2016;38,33
Mar 28, 2016;38,33
Mar 29, 2016;36,75
Mar 30, 2016;36,75
Mar 31, 2016;36,75
Apr 01, 2016;36,42
Apr 04, 2016;36,05
Apr 05, 2016;35,88
Apr 06, 2016;37,77
Apr 07, 2016;37,15
Apr 08, 2016;40,71
Apr 11, 2016;41,58
Apr 12, 2016;43,02
Apr 13, 2016;42,81
Apr 14, 2016;43,02
Apr 15, 2016;41,32
Apr 18, 2016;41,64
Apr 19, 2016;43,02
Apr 20, 2016;43,09
Apr 21, 2016;43,48
Apr 22, 2016;43,97
Apr 25, 2016;42,97
Apr 26, 2016;43,94
Apr 27, 2016;44,17
Apr 28, 2016;45,6
Apr 29, 2016;45,64
May 02, 2016;45,82
May 03, 2016;43,09
May 04, 2016;43,08
May 05, 2016;44,39
May 06, 2016;44,6
May 09, 2016;42,43
May 10, 2016;44,01
May 11, 2016;46,08
May 12, 2016;46,43
May 13, 2016;47,05
May 16, 2016;48,49
May 17, 2016;48,71
May 18, 2016;48,93
May 19, 2016;47,01
May 20, 2016;48,54
May 23, 2016;47,77
May 24, 2016;48,42
May 25, 2016;48,87
May 26, 2016;49,52
May 27, 2016;49,09
May 31, 2016;49,26
Jun 01, 2016;48,81
Jun 02, 2016;49,05
Jun 03, 2016;48,5
Jun 06, 2016;48,94
Jun 07, 2016;49,76
Jun 08, 2016;50,73
Jun 09, 2016;50,59
Jun 10, 2016;49,7
Jun 13, 2016;49,36
Jun 14, 2016;47,88
Jun 15, 2016;47,47
Jun 16, 2016;45,66
Jun 17, 2016;46,57
Jun 20, 2016;48,68
Jun 21, 2016;48,18
Jun 22, 2016;48,43
Jun 23, 2016;48,63
Jun 24, 2016;46,69
Jun 27, 2016;45,07
Jun 28, 2016;46,29
Jun 29, 2016;48,4
Jun 30, 2016;48,05
Jul 01, 2016;47,65
Jul 04, 2016;48,02
Jul 05, 2016;45,64
Jul 06, 2016;45,7
Jul 07, 2016;45,93
Jul 08, 2016;44,53
Jul 11, 2016;44,04
Jul 12, 2016;46,72
Jul 13, 2016;44,67
Jul 14, 2016;46,01
Jul 15, 2016;46,25
Jul 18, 2016;45,35
Jul 19, 2016;45,7
Jul 20, 2016;45,82
Jul 21, 2016;44,99
Jul 22, 2016;44,24
Jul 25, 2016;43,76
Jul 26, 2016;43,56
Jul 27, 2016;42,78
Jul 28, 2016;41,87
Jul 29, 2016;40,76
Aug 01, 2016;40,17
Aug 02, 2016;40
Aug 03, 2016;40,45
Aug 04, 2016;41,33
Aug 05, 2016;42,47
Aug 08, 2016;43,24
Aug 09, 2016;43,37
Aug 10, 2016;42,19
Aug 11, 2016;44,23
Aug 12, 2016;45,12
Aug 15, 2016;47,31
Aug 16, 2016;48,27
Aug 17, 2016;48,58
Aug 18, 2016;49,46
Aug 19, 2016;49,39
Aug 22, 2016;48,1
Aug 23, 2016;48,7
Aug 24, 2016;47,56
Aug 25, 2016;49,25
Aug 26, 2016;49,66
Aug 29, 2016;49,66
Aug 30, 2016;47,94
Aug 31, 2016;47,94
Sep 01, 2016;45,05
Sep 02, 2016;45,96
Sep 05, 2016;46,72
Sep 06, 2016;46,21
Sep 07, 2016;47
Sep 08, 2016;49,23
Sep 09, 2016;48,37
Sep 12, 2016;47,82
Sep 13, 2016;46,48
Sep 14, 2016;45,65
Sep 15, 2016;45,83
Sep 16, 2016;45,26
Sep 19, 2016;46,04
Sep 20, 2016;45,24
Sep 21, 2016;45,99
Sep 22, 2016;47,21
Sep 23, 2016;46,71
Sep 26, 2016;46,61
Sep 27, 2016;44,95
Sep 28, 2016;45,49
Sep 29, 2016;48,43
Sep 30, 2016;48,24
Oct 03, 2016;48,61
Oct 04, 2016;48,81
